case_id,relative_path,study_family,physical_case,case_label,inlet_speed_m_per_s,stiffness_class,A,beta,Ta_K,fuel_Hf_J_per_kg,mesh_name,Nx,Ny,cells,nprocs,x_left_cells,slot_cells,x_right_cells,status,node,solver_exit_code,openfoam_version,mpi_library,solver_wall_s,setup_wall_s,reconstruct_wall_s,total_case_wall_s,final_time,foam_execution_s,foam_clock_s,final_maxCo
FLOW_INTENSITY__BC3_HIGH_v020__M4_864x288__C16,cases/FLOW/BC3_HIGH_v020/M4_864x288/C16,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,16,392,80,392,complete,orfoz185,0,v2312,INTELMPI,18566.713447424,5.370783488,2.620033792,18574.987901952,2,18502.18,18559,0.04999988573
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M1_108x36__C1,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M1_108x36/C1,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,1,49,10,49,complete,orfoz234,0,v2312,INTELMPI,482.211915520,0.331198208,0.007002880,482.633298688,2,477.97,479,0.0240448134
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M1_108x36__C2,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M1_108x36/C2,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,2,49,10,49,complete,orfoz234,0,v2312,INTELMPI,376.832438272,1.486341376,0.119493120,378.521906432,2,370.37,371,0.0240448134
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M1_108x36__C4,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M1_108x36/C4,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,4,49,10,49,complete,orfoz234,0,v2312,INTELMPI,420.009012736,0.267533568,0.146200832,420.506847744,2,417.63,419,0.02404481339
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M1_108x36__C16,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M1_108x36/C16,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,16,49,10,49,complete,orfoz234,0,v2312,INTELMPI,841.716069888,0.417471488,0.323656704,842.544477696,2,837.91,840,0.02404481339
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M2_216x72__C1,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M2_216x72/C1,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,1,98,20,98,complete,orfoz223,0,v2312,INTELMPI,1782.002955008,9.621042688,0.005503232,1791.766617344,2,1763.26,1767,0.05000023496
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M2_216x72__C2,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M2_216x72/C2,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,2,98,20,98,complete,orfoz223,0,v2312,INTELMPI,1046.906822400,1.955310080,0.642192896,1049.577341440,2,1038.89,1041,0.05000023496
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M2_216x72__C4,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M2_216x72/C4,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,4,98,20,98,complete,orfoz223,0,v2312,INTELMPI,699.775027968,0.511669760,0.156831744,700.516327936,2,697.12,698,0.05000023498
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M2_216x72__C16,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M2_216x72/C16,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,16,98,20,98,complete,orfoz223,0,v2312,INTELMPI,775.914382848,0.583201024,2.422784512,779.007416576,2,767.11,770,0.05000023496
REACTION_STIFFNESS__S1_LOW_A1e7_Ta1000__M3_432x144__C1,cases/STIFFNESS/S1_LOW_A1e7_Ta1000/M3_432x144/C1,REACTION_STIFFNESS,S1_LOW_A1e7_Ta1000,low_reaction_rate,0.1,low,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,1,196,40,196,complete,orfoz223,0,v2312,INTELMPI,14297.501457408,0.862759424,0.007219968,14298.511200768,2,14243.41,14286,0.05000026188
